,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
307210,LeftFoot,OpenPlay,SavedShot,0.12734000384807587,72,2,0,Artem Timofeev,3026,h,Krylya Sovetov Samara,CSKA Moscow,Radu Ginsari,2019-07-14 13:30:00,11027,2019,"(0.909000015258789, 0.6329999923706054)"
307209,RightFoot,OpenPlay,SavedShot,0.025501798838377,71,2,0,Srdjan Mijailovic,5405,h,Krylya Sovetov Samara,CSKA Moscow,,2019-07-14 13:30:00,11027,2019,"(0.7609999847412109, 0.375)"
307199,RightFoot,OpenPlay,Goal,0.04818709194660187,50,2,0,Alexander Sobolev,5397,h,Krylya Sovetov Samara,CSKA Moscow,Dmitri Kabutov,2019-07-14 13:30:00,11027,2019,"(0.8630000305175781, 0.5259999847412109)"
307211,RightFoot,OpenPlay,SavedShot,0.05272415280342102,72,2,0,Anton Zinkovskiy,7454,h,Krylya Sovetov Samara,CSKA Moscow,,2019-07-14 13:30:00,11027,2019,"(0.735999984741211, 0.6079999923706054)"
307202,RightFoot,Penalty,Goal,0.7542753219604492,57,2,0,Alexander Sobolev,5397,h,Krylya Sovetov Samara,CSKA Moscow,,2019-07-14 13:30:00,11027,2019,"(0.885, 0.5)"
307195,RightFoot,OpenPlay,BlockedShot,0.08497979491949081,15,2,0,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,CSKA Moscow,Alexander Sobolev,2019-07-14 13:30:00,11027,2019,"(0.9280000305175782, 0.3340000152587891)"
307201,LeftFoot,OpenPlay,BlockedShot,0.08934973180294037,56,2,0,Paul Anton,6575,h,Krylya Sovetov Samara,CSKA Moscow,Alexander Sobolev,2019-07-14 13:30:00,11027,2019,"(0.89, 0.649000015258789)"
307196,RightFoot,OpenPlay,SavedShot,0.012580033391714096,31,2,0,Paul Anton,6575,h,Krylya Sovetov Samara,CSKA Moscow,Maxim Karpov,2019-07-14 13:30:00,11027,2019,"(0.7919999694824219, 0.68)"
307190,LeftFoot,OpenPlay,BlockedShot,0.014349691569805145,11,2,0,Anton Zinkovskiy,7454,h,Krylya Sovetov Samara,CSKA Moscow,Alexander Sobolev,2019-07-14 13:30:00,11027,2019,"(0.7609999847412109, 0.61)"
307361,Head,OpenPlay,BlockedShot,0.03200819715857506,77,2,3,Dejan Radonjic,7644,h,Krylya Sovetov Samara,Arsenal Tula,Srdjan Mijailovic,2019-07-20 13:30:00,11032,2019,"(0.889000015258789, 0.5940000152587891)"
307357,RightFoot,SetPiece,MissedShots,0.12213478982448578,55,2,3,Dejan Radonjic,7644,h,Krylya Sovetov Samara,Arsenal Tula,Alexander Sobolev,2019-07-20 13:30:00,11032,2019,"(0.909000015258789, 0.5609999847412109)"
307343,LeftFoot,OpenPlay,MissedShots,0.07177002727985382,19,2,3,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,Arsenal Tula,Anton Zinkovskiy,2019-07-20 13:30:00,11032,2019,"(0.8909999847412109, 0.4129999923706055)"
307362,RightFoot,DirectFreekick,SavedShot,0.05188041925430298,80,2,3,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,Arsenal Tula,,2019-07-20 13:30:00,11032,2019,"(0.759000015258789, 0.6519999694824219)"
307352,Head,OpenPlay,MissedShots,0.04460938647389412,44,2,3,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Arsenal Tula,Dmitri Kombarov,2019-07-20 13:30:00,11032,2019,"(0.9319999694824219, 0.425)"
307363,Head,FromCorner,SavedShot,0.15745070576667786,81,2,3,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Arsenal Tula,Dmitri Kabutov,2019-07-20 13:30:00,11032,2019,"(0.98, 0.49900001525878906)"
307351,RightFoot,OpenPlay,Goal,0.08539912849664688,42,2,3,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Arsenal Tula,Paul Anton,2019-07-20 13:30:00,11032,2019,"(0.9169999694824219, 0.5359999847412109)"
307358,RightFoot,SetPiece,Goal,0.6027716398239136,55,2,3,Taras Burlak,2993,h,Krylya Sovetov Samara,Arsenal Tula,Dejan Radonjic,2019-07-20 13:30:00,11032,2019,"(0.9619999694824218, 0.43900001525878907)"
307364,Head,FromCorner,MissedShots,0.02746695652604103,88,2,3,Taras Burlak,2993,h,Krylya Sovetov Samara,Arsenal Tula,Dmitri Kabutov,2019-07-20 13:30:00,11032,2019,"(0.91, 0.475)"
307346,LeftFoot,DirectFreekick,MissedShots,0.03866538405418396,28,2,3,Dmitri Kombarov,2821,h,Krylya Sovetov Samara,Arsenal Tula,,2019-07-20 13:30:00,11032,2019,"(0.7119999694824218, 0.42700000762939455)"
307584,RightFoot,OpenPlay,BlockedShot,0.04129534959793091,43,1,2,Alexander Anyukov,3077,a,Krylya Sovetov Samara,FC Ufa,Dmitri Kabutov,2019-07-27 11:00:00,11040,2019,"(0.97, 0.31799999237060544)"
307578,RightFoot,OpenPlay,Goal,0.015596486628055573,24,1,2,Srdjan Mijailovic,5405,a,Krylya Sovetov Samara,FC Ufa,Alexander Sobolev,2019-07-27 11:00:00,11040,2019,"(0.7219999694824218, 0.4779999923706055)"
307586,RightFoot,OpenPlay,BlockedShot,0.01698209159076214,51,1,2,Srdjan Mijailovic,5405,a,Krylya Sovetov Samara,FC Ufa,,2019-07-27 11:00:00,11040,2019,"(0.735, 0.40799999237060547)"
307594,Head,SetPiece,MissedShots,0.09579744935035706,85,1,2,Egor Golenkov,5516,a,Krylya Sovetov Samara,FC Ufa,Dmitri Kombarov,2019-07-27 11:00:00,11040,2019,"(0.909000015258789, 0.455)"
307597,RightFoot,OpenPlay,MissedShots,0.4148198366165161,92,1,2,Egor Golenkov,5516,a,Krylya Sovetov Samara,FC Ufa,Maksim Kanunnikov,2019-07-27 11:00:00,11040,2019,"(0.92, 0.5029999923706054)"
307596,LeftFoot,OpenPlay,MissedShots,0.05128495395183563,91,1,2,Dejan Radonjic,7644,a,Krylya Sovetov Samara,FC Ufa,Dmitri Kombarov,2019-07-27 11:00:00,11040,2019,"(0.85, 0.435)"
307591,LeftFoot,OpenPlay,MissedShots,0.05017010495066643,76,1,2,Alexander Sobolev,5397,a,Krylya Sovetov Samara,FC Ufa,Dmitri Kombarov,2019-07-27 11:00:00,11040,2019,"(0.8009999847412109, 0.534000015258789)"
307595,RightFoot,OpenPlay,BlockedShot,0.028215687721967697,90,1,2,Dejan Radonjic,7644,a,Krylya Sovetov Samara,FC Ufa,Dmitri Kombarov,2019-07-27 11:00:00,11040,2019,"(0.815, 0.36400001525878906)"
307590,LeftFoot,OpenPlay,MissedShots,0.06981022655963898,67,1,2,Dmitri Kabutov,6603,a,Krylya Sovetov Samara,FC Ufa,Alexander Sobolev,2019-07-27 11:00:00,11040,2019,"(0.8830000305175781, 0.5709999847412109)"
307589,LeftFoot,OpenPlay,SavedShot,0.020710790529847145,63,1,2,Dmitri Kombarov,2821,a,Krylya Sovetov Samara,FC Ufa,Alexander Sobolev,2019-07-27 11:00:00,11040,2019,"(0.745999984741211, 0.500999984741211)"
307592,LeftFoot,OpenPlay,MissedShots,0.016587581485509872,80,1,2,Dmitri Kombarov,2821,a,Krylya Sovetov Samara,FC Ufa,Aleksandru Gatcan,2019-07-27 11:00:00,11040,2019,"(0.7619999694824219, 0.6509999847412109)"
307593,RightFoot,OpenPlay,SavedShot,0.033174220472574234,83,1,2,Dejan Radonjic,7644,a,Krylya Sovetov Samara,FC Ufa,Anton Zinkovskiy,2019-07-27 11:00:00,11040,2019,"(0.9730000305175781, 0.6859999847412109)"
307587,Head,OpenPlay,MissedShots,0.05345519259572029,54,1,2,Alexander Anyukov,3077,a,Krylya Sovetov Samara,FC Ufa,Dmitri Kabutov,2019-07-27 11:00:00,11040,2019,"(0.8919999694824219, 0.4540000152587891)"
307585,LeftFoot,OpenPlay,MissedShots,0.04001634567975998,47,1,2,Dmitri Kombarov,2821,a,Krylya Sovetov Samara,FC Ufa,Aleksandru Gatcan,2019-07-27 11:00:00,11040,2019,"(0.9330000305175781, 0.7130000305175781)"
307583,OtherBodyPart,FromCorner,OwnGoal,0.0,32,1,2,Vladimir Poluyakhtov,5426,a,Krylya Sovetov Samara,FC Ufa,,2019-07-27 11:00:00,11040,2019,"(0.060999999046325686, 0.515)"
307826,Head,SetPiece,MissedShots,0.033036984503269196,35,1,2,Nikita Chernov,3160,h,Krylya Sovetov Samara,Lokomotiv Moscow,Dmitri Kombarov,2019-08-03 14:30:00,11048,2019,"(0.9009999847412109, 0.4540000152587891)"
307832,Head,SetPiece,SavedShot,0.4071192145347595,54,1,2,Nikita Chernov,3160,h,Krylya Sovetov Samara,Lokomotiv Moscow,Dmitri Kombarov,2019-08-03 14:30:00,11048,2019,"(0.9319999694824219, 0.5209999847412109)"
307841,LeftFoot,OpenPlay,SavedShot,0.027280380949378014,81,1,2,Anton Zinkovskiy,7454,h,Krylya Sovetov Samara,Lokomotiv Moscow,Aleksandru Gatcan,2019-08-03 14:30:00,11048,2019,"(0.8369999694824218, 0.27)"
307830,RightFoot,OpenPlay,MissedShots,0.061817437410354614,51,1,2,Maksim Kanunnikov,2969,h,Krylya Sovetov Samara,Lokomotiv Moscow,Aleksandru Gatcan,2019-08-03 14:30:00,11048,2019,"(0.8590000152587891, 0.6459999847412109)"
307842,RightFoot,OpenPlay,Goal,0.33712291717529297,87,1,2,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Lokomotiv Moscow,Anton Zinkovskiy,2019-08-03 14:30:00,11048,2019,"(0.9019999694824219, 0.46099998474121096)"
307820,RightFoot,OpenPlay,BlockedShot,0.04631705582141876,10,1,2,Maksim Kanunnikov,2969,h,Krylya Sovetov Samara,Lokomotiv Moscow,,2019-08-03 14:30:00,11048,2019,"(0.9230000305175782, 0.7090000152587891)"
307823,RightFoot,OpenPlay,SavedShot,0.06648889929056168,26,1,2,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,Lokomotiv Moscow,Alexander Anyukov,2019-08-03 14:30:00,11048,2019,"(0.9590000152587891, 0.335)"
307824,RightFoot,OpenPlay,MissedShots,0.03859027475118637,29,1,2,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,Lokomotiv Moscow,Dmitri Kombarov,2019-08-03 14:30:00,11048,2019,"(0.8819999694824219, 0.335)"
307837,LeftFoot,OpenPlay,MissedShots,0.011528683826327324,66,1,2,Dmitri Kombarov,2821,h,Krylya Sovetov Samara,Lokomotiv Moscow,,2019-08-03 14:30:00,11048,2019,"(0.755, 0.7609999847412109)"
307840,RightFoot,OpenPlay,BlockedShot,0.02176332287490368,77,1,2,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Lokomotiv Moscow,Maksim Kanunnikov,2019-08-03 14:30:00,11048,2019,"(0.835999984741211, 0.7280000305175781)"
308667,LeftFoot,DirectFreekick,BlockedShot,0.0629393681883812,50,0,1,Dmitri Kombarov,2821,a,Krylya Sovetov Samara,FC Rostov,,2019-08-12 18:00:00,11062,2019,"(0.7630000305175781, 0.5990000152587891)"
308672,RightFoot,OpenPlay,BlockedShot,0.035404350608587265,84,0,1,Dejan Radonjic,7644,a,Krylya Sovetov Samara,FC Rostov,Alexander Sobolev,2019-08-12 18:00:00,11062,2019,"(0.8569999694824219, 0.7180000305175781)"
308673,Head,SetPiece,MissedShots,0.04753566533327103,86,0,1,Dejan Radonjic,7644,a,Krylya Sovetov Samara,FC Rostov,Dmitri Kabutov,2019-08-12 18:00:00,11062,2019,"(0.9159999847412109, 0.545)"
308654,RightFoot,OpenPlay,MissedShots,0.01649446412920952,19,0,1,Aleksandru Gatcan,3024,a,Krylya Sovetov Samara,FC Rostov,,2019-08-12 18:00:00,11062,2019,"(0.7440000152587891, 0.6020000076293945)"
308666,RightFoot,OpenPlay,BlockedShot,0.0766071304678917,47,0,1,Maksim Kanunnikov,2969,a,Krylya Sovetov Samara,FC Rostov,Radu Ginsari,2019-08-12 18:00:00,11062,2019,"(0.8480000305175781, 0.5070000076293946)"
308655,LeftFoot,OpenPlay,MissedShots,0.012128318659961224,24,0,1,Artem Timofeev,3026,a,Krylya Sovetov Samara,FC Rostov,,2019-08-12 18:00:00,11062,2019,"(0.7440000152587891, 0.3029999923706055)"
308648,LeftFoot,OpenPlay,MissedShots,0.07978799939155579,9,0,1,Dmitri Kabutov,6603,a,Krylya Sovetov Samara,FC Rostov,Alexander Sobolev,2019-08-12 18:00:00,11062,2019,"(0.915, 0.33)"
308656,RightFoot,OpenPlay,MissedShots,0.013513946905732155,26,0,1,Maksim Kanunnikov,2969,a,Krylya Sovetov Samara,FC Rostov,Dmitri Kombarov,2019-08-12 18:00:00,11062,2019,"(0.6969999694824218, 0.575)"
308671,Head,SetPiece,MissedShots,0.04306742921471596,82,0,1,Nikita Chernov,3160,a,Krylya Sovetov Samara,FC Rostov,Dmitri Kabutov,2019-08-12 18:00:00,11062,2019,"(0.9009999847412109, 0.41200000762939454)"
308661,RightFoot,FromCorner,MissedShots,0.023314401507377625,35,0,1,Dmitri Kabutov,6603,a,Krylya Sovetov Samara,FC Rostov,Aleksandru Gatcan,2019-08-12 18:00:00,11062,2019,"(0.8469999694824218, 0.6969999694824218)"
308792,RightFoot,OpenPlay,MissedShots,0.5659411549568176,90,3,1,Dejan Radonjic,7644,a,Krylya Sovetov Samara,Ural,Alexander Anyukov,2019-08-17 12:00:00,11064,2019,"(0.9259999847412109, 0.46299999237060546)"
308782,Head,SetPiece,MissedShots,0.05342602729797363,48,3,1,Radu Ginsari,7643,a,Krylya Sovetov Samara,Ural,,2019-08-17 12:00:00,11064,2019,"(0.9290000152587891, 0.44299999237060544)"
308791,RightFoot,OpenPlay,SavedShot,0.07556964457035065,86,3,1,Dejan Radonjic,7644,a,Krylya Sovetov Samara,Ural,Dmitri Kombarov,2019-08-17 12:00:00,11064,2019,"(0.9730000305175781, 0.7240000152587891)"
308789,RightFoot,OpenPlay,Goal,0.2862192690372467,83,3,1,Dejan Radonjic,7644,a,Krylya Sovetov Samara,Ural,Alexander Sobolev,2019-08-17 12:00:00,11064,2019,"(0.9080000305175782, 0.654000015258789)"
308775,Head,OpenPlay,Goal,0.5325616002082825,27,3,1,Radu Ginsari,7643,a,Krylya Sovetov Samara,Ural,Dmitri Kabutov,2019-08-17 12:00:00,11064,2019,"(0.95, 0.46599998474121096)"
308785,RightFoot,OpenPlay,BlockedShot,0.09502540528774261,66,3,1,Srdjan Mijailovic,5405,a,Krylya Sovetov Samara,Ural,Alexander Sobolev,2019-08-17 12:00:00,11064,2019,"(0.8880000305175781, 0.31799999237060544)"
308776,Head,OpenPlay,SavedShot,0.025342928245663643,32,3,1,Alexander Sobolev,5397,a,Krylya Sovetov Samara,Ural,Dmitri Kabutov,2019-08-17 12:00:00,11064,2019,"(0.8690000152587891, 0.47900001525878905)"
308787,RightFoot,OpenPlay,Goal,0.03380333259701729,78,3,1,Alexander Sobolev,5397,a,Krylya Sovetov Samara,Ural,Artem Timofeev,2019-08-17 12:00:00,11064,2019,"(0.685, 0.5220000076293946)"
308788,RightFoot,OpenPlay,MissedShots,0.061598554253578186,80,3,1,Anton Zinkovskiy,7454,a,Krylya Sovetov Samara,Ural,Srdjan Mijailovic,2019-08-17 12:00:00,11064,2019,"(0.9409999847412109, 0.27600000381469725)"
308774,Head,OpenPlay,MissedShots,0.029594704508781433,20,3,1,Alexander Sobolev,5397,a,Krylya Sovetov Samara,Ural,Dmitri Kombarov,2019-08-17 12:00:00,11064,2019,"(0.8869999694824219, 0.4570000076293945)"
308778,Head,SetPiece,MissedShots,0.04015003517270088,36,3,1,Maxim Karpov,5925,a,Krylya Sovetov Samara,Ural,Dmitri Kombarov,2019-08-17 12:00:00,11064,2019,"(0.91, 0.44599998474121094)"
308783,LeftFoot,OpenPlay,BlockedShot,0.053788963705301285,56,3,1,Dmitri Kabutov,6603,a,Krylya Sovetov Samara,Ural,Alexander Anyukov,2019-08-17 12:00:00,11064,2019,"(0.855, 0.3060000038146973)"
308784,LeftFoot,OpenPlay,BlockedShot,0.10153787583112717,56,3,1,Radu Ginsari,7643,a,Krylya Sovetov Samara,Ural,Maksim Kanunnikov,2019-08-17 12:00:00,11064,2019,"(0.9069999694824219, 0.6170000076293946)"
314479,LeftFoot,OpenPlay,Goal,0.6565250158309937,41,1,2,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Spartak Moscow,Maksim Kanunnikov,2019-08-25 17:00:00,11074,2019,"(0.955, 0.4909999847412109)"
314465,LeftFoot,DirectFreekick,SavedShot,0.046100396662950516,5,1,2,Dmitri Kombarov,2821,h,Krylya Sovetov Samara,Spartak Moscow,,2019-08-25 17:00:00,11074,2019,"(0.8569999694824219, 0.17399999618530274)"
314495,LeftFoot,OpenPlay,MissedShots,0.015358245931565762,83,1,2,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,Spartak Moscow,Alexander Anyukov,2019-08-25 17:00:00,11074,2019,"(0.7369999694824219, 0.24399999618530274)"
314480,RightFoot,OpenPlay,MissedShots,0.07913444191217422,43,1,2,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,Spartak Moscow,,2019-08-25 17:00:00,11074,2019,"(0.769000015258789, 0.539000015258789)"
314497,Head,OpenPlay,SavedShot,0.06490008533000946,88,1,2,Maksim Kanunnikov,2969,h,Krylya Sovetov Samara,Spartak Moscow,Dmitri Kabutov,2019-08-25 17:00:00,11074,2019,"(0.9109999847412109, 0.41200000762939454)"
314498,RightFoot,OpenPlay,SavedShot,0.05919991433620453,88,1,2,Srdjan Mijailovic,5405,h,Krylya Sovetov Samara,Spartak Moscow,Alexander Sobolev,2019-08-25 17:00:00,11074,2019,"(0.8780000305175781, 0.639000015258789)"
314499,RightFoot,DirectFreekick,MissedShots,0.05439192056655884,90,1,2,Paul Anton,6575,h,Krylya Sovetov Samara,Spartak Moscow,,2019-08-25 17:00:00,11074,2019,"(0.754000015258789, 0.6179999923706054)"
314484,RightFoot,OpenPlay,MissedShots,0.07990367710590363,49,1,2,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Spartak Moscow,Paul Anton,2019-08-25 17:00:00,11074,2019,"(0.9069999694824219, 0.3129999923706055)"
314496,RightFoot,OpenPlay,MissedShots,0.034326743334531784,83,1,2,Dejan Radonjic,7644,h,Krylya Sovetov Samara,Spartak Moscow,Paul Anton,2019-08-25 17:00:00,11074,2019,"(0.909000015258789, 0.7380000305175781)"
315374,LeftFoot,OpenPlay,MissedShots,0.0227078627794981,73,0,0,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Dinamo Moscow,Aleksandru Gatcan,2019-08-30 18:00:00,11079,2019,"(0.7580000305175781, 0.38599998474121094)"
315375,RightFoot,OpenPlay,MissedShots,0.022908393293619156,79,0,0,Anton Zinkovskiy,7454,h,Krylya Sovetov Samara,Dinamo Moscow,Paul Anton,2019-08-30 18:00:00,11079,2019,"(0.7930000305175782, 0.3189999961853027)"
315365,Head,SetPiece,MissedShots,0.021015923470258713,34,0,0,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Dinamo Moscow,Dmitri Kabutov,2019-08-30 18:00:00,11079,2019,"(0.89, 0.45599998474121095)"
315354,RightFoot,OpenPlay,BlockedShot,0.10097400844097137,3,0,0,Maksim Kanunnikov,2969,h,Krylya Sovetov Samara,Dinamo Moscow,Vladimir Poluyakhtov,2019-08-30 18:00:00,11079,2019,"(0.865999984741211, 0.575999984741211)"
315369,LeftFoot,FromCorner,BlockedShot,0.013887009583413601,59,0,0,Artem Timofeev,3026,h,Krylya Sovetov Samara,Dinamo Moscow,,2019-08-30 18:00:00,11079,2019,"(0.745999984741211, 0.48700000762939455)"
315364,RightFoot,FromCorner,MissedShots,0.01894408091902733,31,0,0,Paul Anton,6575,h,Krylya Sovetov Samara,Dinamo Moscow,Aleksandru Gatcan,2019-08-30 18:00:00,11079,2019,"(0.8030000305175782, 0.6969999694824218)"
315370,LeftFoot,OpenPlay,SavedShot,0.04034556820988655,59,0,0,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,Dinamo Moscow,Paul Anton,2019-08-30 18:00:00,11079,2019,"(0.9519999694824218, 0.715)"
315362,Head,OpenPlay,MissedShots,0.044870708137750626,28,0,0,Alexander Sobolev,5397,h,Krylya Sovetov Samara,Dinamo Moscow,Paul Anton,2019-08-30 18:00:00,11079,2019,"(0.9059999847412109, 0.524000015258789)"
315371,RightFoot,OpenPlay,SavedShot,0.07896138727664948,60,0,0,Dmitri Kabutov,6603,h,Krylya Sovetov Samara,Dinamo Moscow,Maksim Kanunnikov,2019-08-30 18:00:00,11079,2019,"(0.905, 0.615999984741211)"
315361,RightFoot,DirectFreekick,BlockedShot,0.054110076278448105,27,0,0,Paul Anton,6575,h,Krylya Sovetov Samara,Dinamo Moscow,,2019-08-30 18:00:00,11079,2019,"(0.754000015258789, 0.62)"
315363,Head,FromCorner,MissedShots,0.03230411186814308,31,0,0,Maxim Karpov,5925,h,Krylya Sovetov Samara,Dinamo Moscow,Dmitri Kabutov,2019-08-30 18:00:00,11079,2019,"(0.91, 0.40799999237060547)"
315358,Head,FromCorner,MissedShots,0.12918764352798462,17,0,0,Aleksandru Gatcan,3024,h,Krylya Sovetov Samara,Dinamo Moscow,Dmitri Kabutov,2019-08-30 18:00:00,11079,2019,"(0.9580000305175781, 0.475)"
315359,RightFoot,OpenPlay,BlockedShot,0.014905146323144436,18,0,0,Paul Anton,6575,h,Krylya Sovetov Samara,Dinamo Moscow,Aleksandru Gatcan,2019-08-30 18:00:00,11079,2019,"(0.6819999694824219, 0.4520000076293945)"
315372,RightFoot,OpenPlay,MissedShots,0.030739445239305496,69,0,0,Alexander Anyukov,3077,h,Krylya Sovetov Samara,Dinamo Moscow,,2019-08-30 18:00:00,11079,2019,"(0.8180000305175781, 0.32599998474121095)"
318161,Head,OpenPlay,MissedShots,0.11673914641141891,91,2,4,Vladimir Poluyakhtov,5426,a,Krylya Sovetov Samara,FC Krasnodar,Anton Zinkovskiy,2019-09-15 16:00:00,11093,2019,"(0.9219999694824219, 0.549000015258789)"
318157,RightFoot,OpenPlay,MissedShots,0.012993253767490387,88,2,4,Anton Zinkovskiy,7454,a,Krylya Sovetov Samara,FC Krasnodar,Paul Anton,2019-09-15 16:00:00,11093,2019,"(0.8040000152587891, 0.785)"
318149,RightFoot,OpenPlay,SavedShot,0.018650677055120468,70,2,4,Anton Zinkovskiy,7454,a,Krylya Sovetov Samara,FC Krasnodar,Anton Terekhov,2019-09-15 16:00:00,11093,2019,"(0.785, 0.7230000305175781)"
318163,RightFoot,OpenPlay,BlockedShot,0.009136694483458996,94,2,4,Anton Terekhov,2763,a,Krylya Sovetov Samara,FC Krasnodar,Vladimir Poluyakhtov,2019-09-15 16:00:00,11093,2019,"(0.7130000305175781, 0.76)"
318150,LeftFoot,OpenPlay,BlockedShot,0.09572785347700119,72,2,4,Alexander Sobolev,5397,a,Krylya Sovetov Samara,FC Krasnodar,Anton Zinkovskiy,2019-09-15 16:00:00,11093,2019,"(0.855, 0.485)"
318140,RightFoot,Penalty,SavedShot,0.7542753219604492,47,2,4,Alexander Sobolev,5397,a,Krylya Sovetov Samara,FC Krasnodar,,2019-09-15 16:00:00,11093,2019,"(0.885, 0.5)"
318137,LeftFoot,OpenPlay,SavedShot,0.027887927368283272,39,2,4,Alexander Sobolev,5397,a,Krylya Sovetov Samara,FC Krasnodar,Dmitri Kombarov,2019-09-15 16:00:00,11093,2019,"(0.8119999694824219, 0.6819999694824219)"
318151,RightFoot,Penalty,Goal,0.7542738318443298,74,2,4,Paul Anton,6575,a,Krylya Sovetov Samara,FC Krasnodar,,2019-09-15 16:00:00,11093,2019,"(0.885, 0.5)"
318131,RightFoot,OpenPlay,Goal,0.38729915022850037,11,2,4,Alexander Sobolev,5397,a,Krylya Sovetov Samara,FC Krasnodar,Dmitri Kabutov,2019-09-15 16:00:00,11093,2019,"(0.9269999694824219, 0.529000015258789)"
318156,RightFoot,OpenPlay,BlockedShot,0.07568097114562988,87,2,4,Vladimir Poluyakhtov,5426,a,Krylya Sovetov Samara,FC Krasnodar,Dejan Radonjic,2019-09-15 16:00:00,11093,2019,"(0.860999984741211, 0.634000015258789)"
318139,RightFoot,OpenPlay,BlockedShot,0.11419672518968582,43,2,4,Anton Zinkovskiy,7454,a,Krylya Sovetov Samara,FC Krasnodar,Alexander Sobolev,2019-09-15 16:00:00,11093,2019,"(0.889000015258789, 0.59)"
318145,LeftFoot,OpenPlay,BlockedShot,0.011665725149214268,57,2,4,Alexander Sobolev,5397,a,Krylya Sovetov Samara,FC Krasnodar,Anton Zinkovskiy,2019-09-15 16:00:00,11093,2019,"(0.715, 0.46599998474121096)"
318143,LeftFoot,DirectFreekick,BlockedShot,0.026900917291641235,51,2,4,Dmitri Kombarov,2821,a,Krylya Sovetov Samara,FC Krasnodar,,2019-09-15 16:00:00,11093,2019,"(0.6669999694824219, 0.6140000152587891)"
320162,Head,FromCorner,BlockedShot,0.0526789166033268,61,1,1,Alexander Sobolev,5397,a,Krylya Sovetov Samara,FK Akhmat,Dmitri Kombarov,2019-09-21 11:00:00,11097,2019,"(0.8969999694824219, 0.515)"
320171,RightFoot,OpenPlay,SavedShot,0.3413967788219452,88,1,1,Anton Terekhov,2763,a,Krylya Sovetov Samara,FK Akhmat,,2019-09-21 11:00:00,11097,2019,"(0.909000015258789, 0.6020000076293945)"
320161,LeftFoot,OpenPlay,BlockedShot,0.04754089191555977,58,1,1,Dmitri Kabutov,6603,a,Krylya Sovetov Samara,FK Akhmat,Dmitri Kombarov,2019-09-21 11:00:00,11097,2019,"(0.850999984741211, 0.5820000076293945)"
320156,RightFoot,OpenPlay,BlockedShot,0.03600277751684189,35,1,1,Dmitri Kabutov,6603,a,Krylya Sovetov Samara,FK Akhmat,Alexander Sobolev,2019-09-21 11:00:00,11097,2019,"(0.82, 0.32799999237060545)"
320159,RightFoot,OpenPlay,MissedShots,0.015854820609092712,51,1,1,Anton Zinkovskiy,7454,a,Krylya Sovetov Samara,FK Akhmat,Alexander Sobolev,2019-09-21 11:00:00,11097,2019,"(0.740999984741211, 0.6530000305175782)"
320157,Head,OpenPlay,MissedShots,0.03257239982485771,38,1,1,Maksim Kanunnikov,2969,a,Krylya Sovetov Samara,FK Akhmat,Alexander Anyukov,2019-09-21 11:00:00,11097,2019,"(0.92, 0.565)"
320155,Head,SetPiece,SavedShot,0.10133356600999832,33,1,1,Nikita Chernov,3160,a,Krylya Sovetov Samara,FK Akhmat,Anton Zinkovskiy,2019-09-21 11:00:00,11097,2019,"(0.9069999694824219, 0.47)"
320170,RightFoot,OpenPlay,BlockedShot,0.0970243513584137,88,1,1,Dejan Radonjic,7644,a,Krylya Sovetov Samara,FK Akhmat,Dmitri Kabutov,2019-09-21 11:00:00,11097,2019,"(0.91, 0.3920000076293945)"
320172,Head,OpenPlay,MissedShots,0.032210882753133774,88,1,1,Dejan Radonjic,7644,a,Krylya Sovetov Samara,FK Akhmat,Dmitri Kombarov,2019-09-21 11:00:00,11097,2019,"(0.9019999694824219, 0.47)"
320173,RightFoot,OpenPlay,Goal,0.7575913071632385,93,1,1,Maxim Karpov,5925,a,Krylya Sovetov Samara,FK Akhmat,Anton Zinkovskiy,2019-09-21 11:00:00,11097,2019,"(0.9640000152587891, 0.519000015258789)"
320165,RightFoot,FromCorner,MissedShots,0.10257647931575775,61,1,1,Alexander Anyukov,3077,a,Krylya Sovetov Samara,FK Akhmat,,2019-09-21 11:00:00,11097,2019,"(0.9540000152587891, 0.4)"
320163,RightFoot,FromCorner,BlockedShot,0.16965845227241516,61,1,1,Maxim Karpov,5925,a,Krylya Sovetov Samara,FK Akhmat,Maksim Kanunnikov,2019-09-21 11:00:00,11097,2019,"(0.97, 0.52)"
