,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
217474,RightFoot,SetPiece,MissedShots,0.5064720511436462,81,2,1,Wesley Said,3799,a,Dijon,Montpellier,,2018-08-11 21:00:00,10646,2018,"(0.9130000305175782, 0.5309999847412109)"
217473,RightFoot,Penalty,SavedShot,0.7600951194763184,81,2,1,Wesley Said,3799,a,Dijon,Montpellier,,2018-08-11 21:00:00,10646,2018,"(0.885, 0.5)"
217462,Head,OpenPlay,MissedShots,0.025652391836047173,41,2,1,Wesley Said,3799,a,Dijon,Montpellier,Oussama Haddadi,2018-08-11 21:00:00,10646,2018,"(0.8959999847412109, 0.620999984741211)"
217468,RightFoot,OpenPlay,SavedShot,0.2962685227394104,66,2,1,Júlio Tavares,5622,a,Dijon,Montpellier,Naim Sliti,2018-08-11 21:00:00,10646,2018,"(0.8190000152587891, 0.6480000305175782)"
217463,LeftFoot,OpenPlay,Goal,0.521522045135498,50,2,1,Júlio Tavares,5622,a,Dijon,Montpellier,,2018-08-11 21:00:00,10646,2018,"(0.93, 0.509000015258789)"
217472,RightFoot,OpenPlay,BlockedShot,0.06545736640691757,80,2,1,Jules Keita,6877,a,Dijon,Montpellier,Wesley Said,2018-08-11 21:00:00,10646,2018,"(0.9019999694824219, 0.715)"
217460,RightFoot,DirectFreekick,MissedShots,0.06647921353578568,34,2,1,Naim Sliti,5608,a,Dijon,Montpellier,,2018-08-11 21:00:00,10646,2018,"(0.754000015258789, 0.575999984741211)"
217465,LeftFoot,OpenPlay,BlockedShot,0.03635307401418686,58,2,1,Naim Sliti,5608,a,Dijon,Montpellier,Valentin Rosier,2018-08-11 21:00:00,10646,2018,"(0.850999984741211, 0.29700000762939455)"
217478,RightFoot,FromCorner,Goal,0.05484048277139664,90,2,1,Senou Coulibaly,6876,a,Dijon,Montpellier,Naim Sliti,2018-08-11 21:00:00,10646,2018,"(0.884000015258789, 0.53)"
218283,RightFoot,OpenPlay,MissedShots,0.03730751574039459,0,2,0,Naim Sliti,5608,h,Dijon,Nantes,,2018-08-18 21:00:00,10659,2018,"(0.909000015258789, 0.28899999618530275)"
218294,RightFoot,OpenPlay,MissedShots,0.1239275187253952,53,2,0,Benjamin Jeannot,3460,h,Dijon,Nantes,Oussama Haddadi,2018-08-18 21:00:00,10659,2018,"(0.875999984741211, 0.47200000762939454)"
218282,Head,OpenPlay,SavedShot,0.012264776974916458,0,2,0,Frederic Sammaritano,5621,h,Dijon,Nantes,Valentin Rosier,2018-08-18 21:00:00,10659,2018,"(0.9590000152587891, 0.655)"
218299,RightFoot,DirectFreekick,SavedShot,0.14155453443527222,78,2,0,Naim Sliti,5608,h,Dijon,Nantes,,2018-08-18 21:00:00,10659,2018,"(0.82, 0.5990000152587891)"
218297,RightFoot,OpenPlay,MissedShots,0.8130717277526855,67,2,0,Naim Sliti,5608,h,Dijon,Nantes,Júlio Tavares,2018-08-18 21:00:00,10659,2018,"(0.9680000305175781, 0.5070000076293946)"
218285,RightFoot,OpenPlay,SavedShot,0.016711479052901268,4,2,0,Naim Sliti,5608,h,Dijon,Nantes,Oussama Haddadi,2018-08-18 21:00:00,10659,2018,"(0.7609999847412109, 0.7240000152587891)"
218295,RightFoot,FromCorner,SavedShot,0.015540231950581074,53,2,0,Frederic Sammaritano,5621,h,Dijon,Nantes,,2018-08-18 21:00:00,10659,2018,"(0.7430000305175781, 0.40099998474121096)"
218288,RightFoot,OpenPlay,BlockedShot,0.061324965208768845,32,2,0,Benjamin Jeannot,3460,h,Dijon,Nantes,,2018-08-18 21:00:00,10659,2018,"(0.875, 0.4929999923706055)"
218292,RightFoot,OpenPlay,MissedShots,0.3946658968925476,40,2,0,Benjamin Jeannot,3460,h,Dijon,Nantes,Mehdi Abeid,2018-08-18 21:00:00,10659,2018,"(0.885, 0.5059999847412109)"
218301,RightFoot,FromCorner,MissedShots,0.024731146171689034,89,2,0,Mehdi Abeid,4403,h,Dijon,Nantes,Yoann Gourcuff,2018-08-18 21:00:00,10659,2018,"(0.7769999694824219, 0.3220000076293945)"
218289,LeftFoot,OpenPlay,MissedShots,0.03063179738819599,32,2,0,Valentin Rosier,5615,h,Dijon,Nantes,,2018-08-18 21:00:00,10659,2018,"(0.754000015258789, 0.38299999237060545)"
218286,RightFoot,FromCorner,Goal,0.5915762186050415,7,2,0,Júlio Tavares,5622,h,Dijon,Nantes,Oussama Haddadi,2018-08-18 21:00:00,10659,2018,"(0.9669999694824218, 0.48)"
218298,LeftFoot,OpenPlay,Goal,0.6421446204185486,72,2,0,Júlio Tavares,5622,h,Dijon,Nantes,Valentin Rosier,2018-08-18 21:00:00,10659,2018,"(0.9530000305175781, 0.5279999923706055)"
218300,RightFoot,OpenPlay,SavedShot,0.05475497245788574,83,2,0,Frederic Sammaritano,5621,h,Dijon,Nantes,Mehdi Abeid,2018-08-18 21:00:00,10659,2018,"(0.8519999694824218, 0.705)"
220425,LeftFoot,OpenPlay,Goal,0.45550647377967834,85,4,0,Jules Keita,6877,a,Dijon,Nice,Naim Sliti,2018-08-25 21:00:00,10665,2018,"(0.95, 0.6079999923706054)"
220427,RightFoot,OpenPlay,Goal,0.5972039103507996,92,4,0,Jules Keita,6877,a,Dijon,Nice,Valentin Rosier,2018-08-25 21:00:00,10665,2018,"(0.9269999694824219, 0.4520000076293945)"
220407,Head,OpenPlay,SavedShot,0.01390059944242239,45,4,0,Frederic Sammaritano,5621,a,Dijon,Nice,Mehdi Abeid,2018-08-25 21:00:00,10665,2018,"(0.9480000305175781, 0.6569999694824219)"
220421,RightFoot,OpenPlay,MissedShots,0.02152090333402157,80,4,0,Valentin Rosier,5615,a,Dijon,Nice,Benjamin Jeannot,2018-08-25 21:00:00,10665,2018,"(0.740999984741211, 0.3659999847412109)"
220404,RightFoot,OpenPlay,MissedShots,0.1250258833169937,12,4,0,Naim Sliti,5608,a,Dijon,Nice,Oussama Haddadi,2018-08-25 21:00:00,10665,2018,"(0.8880000305175781, 0.5279999923706055)"
220423,RightFoot,DirectFreekick,MissedShots,0.01856318488717079,83,4,0,Naim Sliti,5608,a,Dijon,Nice,,2018-08-25 21:00:00,10665,2018,"(0.5259999847412109, 0.6569999694824219)"
220415,RightFoot,OpenPlay,MissedShots,0.02163749746978283,63,4,0,Júlio Tavares,5622,a,Dijon,Nice,Frederic Sammaritano,2018-08-25 21:00:00,10665,2018,"(0.8090000152587891, 0.750999984741211)"
220422,LeftFoot,OpenPlay,Goal,0.2478431910276413,82,4,0,Oussama Haddadi,5618,a,Dijon,Nice,Jules Keita,2018-08-25 21:00:00,10665,2018,"(0.9480000305175781, 0.6819999694824219)"
220416,OtherBodyPart,SetPiece,Goal,0.44106602668762207,66,4,0,Naif Aguerd,6935,a,Dijon,Nice,Enzo Loiodice,2018-08-25 21:00:00,10665,2018,"(0.8969999694824219, 0.48400001525878905)"
222052,Head,FromCorner,BlockedShot,0.04667419567704201,53,0,2,Júlio Tavares,5622,h,Dijon,Caen,Naim Sliti,2018-09-01 18:00:00,10676,2018,"(0.925, 0.46)"
222058,Head,FromCorner,MissedShots,0.01256020087748766,64,0,2,Wesley Lautoa,3677,h,Dijon,Caen,Naim Sliti,2018-09-01 18:00:00,10676,2018,"(0.915, 0.6179999923706054)"
222059,RightFoot,OpenPlay,MissedShots,0.022561293095350266,65,0,2,Frederic Sammaritano,5621,h,Dijon,Caen,Enzo Loiodice,2018-09-01 18:00:00,10676,2018,"(0.7519999694824219, 0.5729999923706055)"
222060,RightFoot,OpenPlay,BlockedShot,0.09945488721132278,72,0,2,Jules Keita,6877,h,Dijon,Caen,Oussama Haddadi,2018-09-01 18:00:00,10676,2018,"(0.870999984741211, 0.5059999847412109)"
222064,RightFoot,OpenPlay,BlockedShot,0.07591041177511215,90,0,2,Jules Keita,6877,h,Dijon,Caen,,2018-09-01 18:00:00,10676,2018,"(0.924000015258789, 0.6120000076293945)"
222057,Head,FromCorner,MissedShots,0.0786534920334816,62,0,2,Cédric Yambéré,3257,h,Dijon,Caen,Naim Sliti,2018-09-01 18:00:00,10676,2018,"(0.9130000305175782, 0.5429999923706055)"
222061,Head,FromCorner,BlockedShot,0.05512247234582901,73,0,2,Cédric Yambéré,3257,h,Dijon,Caen,Naim Sliti,2018-09-01 18:00:00,10676,2018,"(0.9030000305175782, 0.4420000076293945)"
222049,RightFoot,DirectFreekick,SavedShot,0.053044915199279785,35,0,2,Naim Sliti,5608,h,Dijon,Caen,,2018-09-01 18:00:00,10676,2018,"(0.740999984741211, 0.38299999237060545)"
222048,RightFoot,DirectFreekick,MissedShots,0.06414926052093506,31,0,2,Naim Sliti,5608,h,Dijon,Caen,,2018-09-01 18:00:00,10676,2018,"(0.745, 0.5)"
222047,RightFoot,OpenPlay,MissedShots,0.06907197088003159,25,0,2,Júlio Tavares,5622,h,Dijon,Caen,Wesley Lautoa,2018-09-01 18:00:00,10676,2018,"(0.8909999847412109, 0.6140000152587891)"
222050,LeftFoot,OpenPlay,MissedShots,0.049966804683208466,37,0,2,Júlio Tavares,5622,h,Dijon,Caen,,2018-09-01 18:00:00,10676,2018,"(0.97, 0.6780000305175782)"
222055,RightFoot,OpenPlay,SavedShot,0.03450576215982437,59,0,2,Benjamin Jeannot,3460,h,Dijon,Caen,,2018-09-01 18:00:00,10676,2018,"(0.7869999694824219, 0.645)"
222042,RightFoot,OpenPlay,MissedShots,0.12353938072919846,4,0,2,Benjamin Jeannot,3460,h,Dijon,Caen,Romain Amalfitano,2018-09-01 18:00:00,10676,2018,"(0.9, 0.43599998474121093)"
222056,RightFoot,OpenPlay,BlockedShot,0.047470737248659134,62,0,2,Naim Sliti,5608,h,Dijon,Caen,,2018-09-01 18:00:00,10676,2018,"(0.8159999847412109, 0.47900001525878905)"
222043,RightFoot,OpenPlay,MissedShots,0.07225999981164932,10,0,2,Frederic Sammaritano,5621,h,Dijon,Caen,Naim Sliti,2018-09-01 18:00:00,10676,2018,"(0.8469999694824218, 0.6020000076293945)"
223871,LeftFoot,OpenPlay,BlockedShot,0.025074025616049767,92,1,3,Valentin Rosier,5615,h,Dijon,Angers,Oussama Haddadi,2018-09-15 18:00:00,10686,2018,"(0.81, 0.5179999923706055)"
223861,RightFoot,OpenPlay,MissedShots,0.022444603964686394,53,1,3,Romain Amalfitano,5620,h,Dijon,Angers,Cédric Yambéré,2018-09-15 18:00:00,10686,2018,"(0.8369999694824218, 0.2520000076293945)"
223868,RightFoot,OpenPlay,BlockedShot,0.08750108629465103,81,1,3,Frederic Sammaritano,5621,h,Dijon,Angers,Jules Keita,2018-09-15 18:00:00,10686,2018,"(0.91, 0.634000015258789)"
223848,LeftFoot,SetPiece,Goal,0.559863805770874,12,1,3,Wesley Said,3799,h,Dijon,Angers,,2018-09-15 18:00:00,10686,2018,"(0.9230000305175782, 0.515)"
223870,Head,SetPiece,MissedShots,0.026599066331982613,89,1,3,Valentin Rosier,5615,h,Dijon,Angers,Frederic Sammaritano,2018-09-15 18:00:00,10686,2018,"(0.8619999694824219, 0.4929999923706055)"
223864,RightFoot,OpenPlay,BlockedShot,0.022678937762975693,61,1,3,Jules Keita,6877,h,Dijon,Angers,Naim Sliti,2018-09-15 18:00:00,10686,2018,"(0.8580000305175781, 0.7030000305175781)"
223850,RightFoot,OpenPlay,MissedShots,0.035174548625946045,26,1,3,Jules Keita,6877,h,Dijon,Angers,Naim Sliti,2018-09-15 18:00:00,10686,2018,"(0.8809999847412109, 0.72)"
223857,LeftFoot,OpenPlay,MissedShots,0.3327409625053406,39,1,3,Júlio Tavares,5622,h,Dijon,Angers,,2018-09-15 18:00:00,10686,2018,"(0.9019999694824219, 0.5159999847412109)"
223859,RightFoot,OpenPlay,SavedShot,0.051332954317331314,46,1,3,Wesley Said,3799,h,Dijon,Angers,Enzo Loiodice,2018-09-15 18:00:00,10686,2018,"(0.9269999694824219, 0.6969999694824218)"
223856,Head,FromCorner,MissedShots,0.024795694276690483,38,1,3,Laurent Ciman,7146,h,Dijon,Angers,Naim Sliti,2018-09-15 18:00:00,10686,2018,"(0.904000015258789, 0.525)"
223858,RightFoot,OpenPlay,SavedShot,0.05778881534934044,41,1,3,Naim Sliti,5608,h,Dijon,Angers,,2018-09-15 18:00:00,10686,2018,"(0.8530000305175781, 0.46799999237060547)"
223847,RightFoot,DirectFreekick,ShotOnPost,0.050173379480838776,12,1,3,Naim Sliti,5608,h,Dijon,Angers,,2018-09-15 18:00:00,10686,2018,"(0.7240000152587891, 0.46700000762939453)"
223865,RightFoot,FromCorner,MissedShots,0.027422674000263214,71,1,3,Jules Keita,6877,h,Dijon,Angers,Mehdi Abeid,2018-09-15 18:00:00,10686,2018,"(0.8419999694824218, 0.7119999694824218)"
225469,LeftFoot,OpenPlay,MissedShots,0.01191428117454052,60,0,0,Jordan Marié,5725,a,Dijon,Reims,,2018-09-22 18:00:00,10698,2018,"(0.7769999694824219, 0.664000015258789)"
225465,RightFoot,OpenPlay,BlockedShot,0.010543915443122387,26,0,0,Jordan Marié,5725,a,Dijon,Reims,,2018-09-22 18:00:00,10698,2018,"(0.7180000305175781, 0.37099998474121093)"
225460,LeftFoot,FromCorner,BlockedShot,0.014780595898628235,9,0,0,Laurent Ciman,7146,a,Dijon,Reims,,2018-09-22 18:00:00,10698,2018,"(0.7859999847412109, 0.6430000305175781)"
225476,RightFoot,OpenPlay,MissedShots,0.019759004935622215,92,0,0,Naim Sliti,5608,a,Dijon,Reims,Júlio Tavares,2018-09-22 18:00:00,10698,2018,"(0.7980000305175782, 0.7280000305175781)"
225473,Head,OpenPlay,BlockedShot,0.030728625133633614,87,0,0,Júlio Tavares,5622,a,Dijon,Reims,Romain Amalfitano,2018-09-22 18:00:00,10698,2018,"(0.855, 0.539000015258789)"
225468,RightFoot,DirectFreekick,MissedShots,0.06637287139892578,32,0,0,Wesley Said,3799,a,Dijon,Reims,,2018-09-22 18:00:00,10698,2018,"(0.7480000305175781, 0.4909999847412109)"
226544,RightFoot,OpenPlay,MissedShots,0.017465660348534584,29,0,3,Romain Amalfitano,5620,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.784000015258789, 0.6409999847412109)"
226561,RightFoot,OpenPlay,MissedShots,0.028395693749189377,57,0,3,Romain Amalfitano,5620,h,Dijon,Lyon,Naim Sliti,2018-09-26 17:00:00,10706,2018,"(0.7819999694824219, 0.4129999923706055)"
226570,RightFoot,OpenPlay,MissedShots,0.01013602688908577,82,0,3,Romain Amalfitano,5620,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.759000015258789, 0.34)"
226577,RightFoot,OpenPlay,MissedShots,0.015358165837824345,87,0,3,Valentin Rosier,5615,h,Dijon,Lyon,Romain Amalfitano,2018-09-26 17:00:00,10706,2018,"(0.769000015258789, 0.28700000762939454)"
226541,LeftFoot,OpenPlay,SavedShot,0.038806017488241196,23,0,3,Valentin Rosier,5615,h,Dijon,Lyon,Mehdi Abeid,2018-09-26 17:00:00,10706,2018,"(0.879000015258789, 0.27399999618530274)"
226571,LeftFoot,OpenPlay,SavedShot,0.06340588629245758,83,0,3,Yoann Gourcuff,3229,h,Dijon,Lyon,Naim Sliti,2018-09-26 17:00:00,10706,2018,"(0.8690000152587891, 0.6659999847412109)"
226543,LeftFoot,FromCorner,MissedShots,0.027466144412755966,27,0,3,Enzo Loiodice,6712,h,Dijon,Lyon,Naim Sliti,2018-09-26 17:00:00,10706,2018,"(0.789000015258789, 0.639000015258789)"
226551,LeftFoot,OpenPlay,BlockedShot,0.07967210561037064,45,0,3,Júlio Tavares,5622,h,Dijon,Lyon,Romain Amalfitano,2018-09-26 17:00:00,10706,2018,"(0.960999984741211, 0.6519999694824219)"
226574,RightFoot,OpenPlay,BlockedShot,0.0153840072453022,85,0,3,Yoann Gourcuff,3229,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.7819999694824219, 0.590999984741211)"
226575,RightFoot,DirectFreekick,BlockedShot,0.052891310304403305,87,0,3,Yoann Gourcuff,3229,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.77, 0.705)"
226552,RightFoot,FromCorner,BlockedShot,0.01968596875667572,46,0,3,Mehdi Abeid,4403,h,Dijon,Lyon,Naim Sliti,2018-09-26 17:00:00,10706,2018,"(0.7680000305175781, 0.7030000305175781)"
226549,Head,SetPiece,MissedShots,0.39117252826690674,40,0,3,Cédric Yambéré,3257,h,Dijon,Lyon,Naim Sliti,2018-09-26 17:00:00,10706,2018,"(0.9280000305175782, 0.4570000076293945)"
226546,LeftFoot,OpenPlay,BlockedShot,0.02951207011938095,33,0,3,Mehdi Abeid,4403,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.8119999694824219, 0.664000015258789)"
226579,RightFoot,OpenPlay,MissedShots,0.012547344900667667,91,0,3,Laurent Ciman,7146,h,Dijon,Lyon,Valentin Rosier,2018-09-26 17:00:00,10706,2018,"(0.6959999847412109, 0.41)"
226567,RightFoot,DirectFreekick,SavedShot,0.05148854851722717,67,0,3,Laurent Ciman,7146,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.7369999694824219, 0.6120000076293945)"
226553,RightFoot,FromCorner,MissedShots,0.031769637018442154,46,0,3,Laurent Ciman,7146,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.879000015258789, 0.24600000381469728)"
226563,RightFoot,SetPiece,SavedShot,0.4853033125400543,59,0,3,Jules Keita,6877,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.915, 0.44799999237060545)"
226542,Head,OpenPlay,MissedShots,0.031125882640480995,24,0,3,Júlio Tavares,5622,h,Dijon,Lyon,Valentin Rosier,2018-09-26 17:00:00,10706,2018,"(0.8680000305175781, 0.4929999923706055)"
226569,LeftFoot,OpenPlay,SavedShot,0.014157700352370739,75,0,3,Enzo Loiodice,6712,h,Dijon,Lyon,Oussama Haddadi,2018-09-26 17:00:00,10706,2018,"(0.8880000305175781, 0.7719999694824219)"
226557,RightFoot,OpenPlay,MissedShots,0.03858889266848564,49,0,3,Jules Keita,6877,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.7859999847412109, 0.6430000305175781)"
226554,RightFoot,FromCorner,BlockedShot,0.050406694412231445,46,0,3,Naim Sliti,5608,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.895, 0.69)"
226558,LeftFoot,OpenPlay,BlockedShot,0.06229313835501671,50,0,3,Naim Sliti,5608,h,Dijon,Lyon,Jules Keita,2018-09-26 17:00:00,10706,2018,"(0.8269999694824218, 0.585)"
226559,LeftFoot,OpenPlay,SavedShot,0.020170368254184723,53,0,3,Naim Sliti,5608,h,Dijon,Lyon,Jules Keita,2018-09-26 17:00:00,10706,2018,"(0.7609999847412109, 0.6)"
226562,RightFoot,DirectFreekick,BlockedShot,0.057816725224256516,59,0,3,Naim Sliti,5608,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.735999984741211, 0.51)"
226568,RightFoot,DirectFreekick,MissedShots,0.06869250535964966,70,0,3,Naim Sliti,5608,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.750999984741211, 0.48700000762939455)"
226576,RightFoot,OpenPlay,BlockedShot,0.05533057451248169,87,0,3,Naim Sliti,5608,h,Dijon,Lyon,Yoann Gourcuff,2018-09-26 17:00:00,10706,2018,"(0.8730000305175781, 0.5659999847412109)"
226578,RightFoot,OpenPlay,BlockedShot,0.01507170032709837,89,0,3,Naim Sliti,5608,h,Dijon,Lyon,Oussama Haddadi,2018-09-26 17:00:00,10706,2018,"(0.8009999847412109, 0.7319999694824219)"
226573,RightFoot,OpenPlay,BlockedShot,0.12213078886270523,85,0,3,Júlio Tavares,5622,h,Dijon,Lyon,Jules Keita,2018-09-26 17:00:00,10706,2018,"(0.93, 0.4540000152587891)"
226556,RightFoot,OpenPlay,BlockedShot,0.04919591546058655,48,0,3,Júlio Tavares,5622,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.8069999694824219, 0.5309999847412109)"
226555,LeftFoot,OpenPlay,BlockedShot,0.009571093134582043,48,0,3,Enzo Loiodice,6712,h,Dijon,Lyon,,2018-09-26 17:00:00,10706,2018,"(0.715, 0.66)"
228391,Head,FromCorner,BlockedShot,0.015674496069550514,78,0,3,Oussama Haddadi,5618,a,Dijon,Strasbourg,Naim Sliti,2018-09-29 18:00:00,10721,2018,"(0.945, 0.35200000762939454)"
228379,RightFoot,DirectFreekick,MissedShots,0.05080178752541542,32,0,3,Naim Sliti,5608,a,Dijon,Strasbourg,,2018-09-29 18:00:00,10721,2018,"(0.7290000152587891, 0.5729999923706055)"
228382,RightFoot,SetPiece,BlockedShot,0.02156464196741581,54,0,3,Mehdi Abeid,4403,a,Dijon,Strasbourg,Naim Sliti,2018-09-29 18:00:00,10721,2018,"(0.779000015258789, 0.34299999237060547)"
228387,LeftFoot,OpenPlay,BlockedShot,0.028423501178622246,68,0,3,Mehdi Abeid,4403,a,Dijon,Strasbourg,,2018-09-29 18:00:00,10721,2018,"(0.750999984741211, 0.595999984741211)"
228393,RightFoot,OpenPlay,BlockedShot,0.014789502136409283,83,0,3,Mehdi Abeid,4403,a,Dijon,Strasbourg,Naim Sliti,2018-09-29 18:00:00,10721,2018,"(0.745, 0.355)"
228395,LeftFoot,OpenPlay,BlockedShot,0.03698397055268288,88,0,3,Oussama Haddadi,5618,a,Dijon,Strasbourg,Naim Sliti,2018-09-29 18:00:00,10721,2018,"(0.904000015258789, 0.740999984741211)"
228396,Head,FromCorner,MissedShots,0.08426770567893982,89,0,3,Wesley Lautoa,3677,a,Dijon,Strasbourg,Naim Sliti,2018-09-29 18:00:00,10721,2018,"(0.915, 0.54)"
228380,RightFoot,OpenPlay,MissedShots,0.23922279477119446,34,0,3,Júlio Tavares,5622,a,Dijon,Strasbourg,Senou Coulibaly,2018-09-29 18:00:00,10721,2018,"(0.8819999694824219, 0.3770000076293945)"
228390,RightFoot,OpenPlay,BlockedShot,0.056940481066703796,72,0,3,Yoann Gourcuff,3229,a,Dijon,Strasbourg,Naim Sliti,2018-09-29 18:00:00,10721,2018,"(0.8369999694824218, 0.615)"
228389,RightFoot,FromCorner,MissedShots,0.020241176709532738,70,0,3,Wesley Said,3799,a,Dijon,Strasbourg,Naim Sliti,2018-09-29 18:00:00,10721,2018,"(0.8619999694824219, 0.8140000152587891)"
228388,LeftFoot,OpenPlay,BlockedShot,0.05333537235856056,70,0,3,Wesley Said,3799,a,Dijon,Strasbourg,Yoann Gourcuff,2018-09-29 18:00:00,10721,2018,"(0.8159999847412109, 0.5570000076293945)"
228377,LeftFoot,OpenPlay,MissedShots,0.3076755404472351,6,0,3,Júlio Tavares,5622,a,Dijon,Strasbourg,Romain Amalfitano,2018-09-29 18:00:00,10721,2018,"(0.92, 0.6880000305175781)"
228381,Head,FromCorner,MissedShots,0.0982343927025795,44,0,3,Cédric Yambéré,3257,a,Dijon,Strasbourg,Naim Sliti,2018-09-29 18:00:00,10721,2018,"(0.9159999847412109, 0.4929999923706055)"
228386,RightFoot,OpenPlay,SavedShot,0.02224765717983246,65,0,3,Jules Keita,6877,a,Dijon,Strasbourg,Jordan Marié,2018-09-29 18:00:00,10721,2018,"(0.7619999694824219, 0.5640000152587891)"
260522,LeftFoot,OpenPlay,BlockedShot,0.06302616745233536,61,0,1,Wesley Said,3799,a,Dijon,Amiens,Naim Sliti,2018-10-06 18:00:00,10723,2018,"(0.815, 0.36900001525878906)"
260521,LeftFoot,OpenPlay,SavedShot,0.07896794378757477,57,0,1,Wesley Said,3799,a,Dijon,Amiens,Benjamin Jeannot,2018-10-06 18:00:00,10723,2018,"(0.875, 0.38599998474121094)"
260520,Head,FromCorner,BlockedShot,0.011994465254247189,50,0,1,Wesley Lautoa,3677,a,Dijon,Amiens,Naim Sliti,2018-10-06 18:00:00,10723,2018,"(0.9009999847412109, 0.6229999923706054)"
260516,RightFoot,OpenPlay,ShotOnPost,0.022094057872891426,36,0,1,Benjamin Jeannot,3460,a,Dijon,Amiens,Wesley Said,2018-10-06 18:00:00,10723,2018,"(0.884000015258789, 0.7559999847412109)"
260515,RightFoot,OpenPlay,MissedShots,0.018551643937826157,28,0,1,Benjamin Jeannot,3460,a,Dijon,Amiens,Wesley Said,2018-10-06 18:00:00,10723,2018,"(0.7780000305175782, 0.47200000762939454)"
260517,RightFoot,OpenPlay,BlockedShot,0.013287004083395004,36,0,1,Valentin Rosier,5615,a,Dijon,Amiens,,2018-10-06 18:00:00,10723,2018,"(0.7190000152587891, 0.3529999923706055)"
260524,LeftFoot,OpenPlay,MissedShots,0.058317407965660095,74,0,1,Yoann Gourcuff,3229,a,Dijon,Amiens,Jules Keita,2018-10-06 18:00:00,10723,2018,"(0.8190000152587891, 0.4520000076293945)"
260525,Head,OpenPlay,SavedShot,0.017159977927803993,83,0,1,Wesley Said,3799,a,Dijon,Amiens,Mehdi Abeid,2018-10-06 18:00:00,10723,2018,"(0.825, 0.3820000076293945)"
260511,RightFoot,OpenPlay,MissedShots,0.04432111233472824,2,0,1,Naim Sliti,5608,a,Dijon,Amiens,Valentin Rosier,2018-10-06 18:00:00,10723,2018,"(0.7959999847412109, 0.4540000152587891)"
260513,RightFoot,OpenPlay,SavedShot,0.044157397001981735,6,0,1,Naim Sliti,5608,a,Dijon,Amiens,,2018-10-06 18:00:00,10723,2018,"(0.8019999694824219, 0.639000015258789)"
260780,Head,FromCorner,MissedShots,0.02804500237107277,10,1,2,Laurent Ciman,7146,h,Dijon,Lille,Mehdi Abeid,2018-10-20 18:00:00,10734,2018,"(0.905, 0.4929999923706055)"
260803,RightFoot,OpenPlay,MissedShots,0.026523474603891373,90,1,2,Yoann Gourcuff,3229,h,Dijon,Lille,Naim Sliti,2018-10-20 18:00:00,10734,2018,"(0.8490000152587891, 0.7169999694824218)"
260779,RightFoot,OpenPlay,SavedShot,0.01869218796491623,8,1,2,Benjamin Jeannot,3460,h,Dijon,Lille,Mehdi Abeid,2018-10-20 18:00:00,10734,2018,"(0.789000015258789, 0.7769999694824219)"
260785,RightFoot,OpenPlay,BlockedShot,0.05741370469331741,29,1,2,Benjamin Jeannot,3460,h,Dijon,Lille,Florent Balmont,2018-10-20 18:00:00,10734,2018,"(0.8209999847412109, 0.500999984741211)"
260794,RightFoot,FromCorner,BlockedShot,0.1068645492196083,65,1,2,Yoann Gourcuff,3229,h,Dijon,Lille,,2018-10-20 18:00:00,10734,2018,"(0.889000015258789, 0.4759999847412109)"
260791,RightFoot,OpenPlay,SavedShot,0.08727853745222092,64,1,2,Benjamin Jeannot,3460,h,Dijon,Lille,Naim Sliti,2018-10-20 18:00:00,10734,2018,"(0.8540000152587891, 0.44299999237060544)"
260795,LeftFoot,OpenPlay,BlockedShot,0.07389316707849503,67,1,2,Benjamin Jeannot,3460,h,Dijon,Lille,Oussama Haddadi,2018-10-20 18:00:00,10734,2018,"(0.9130000305175782, 0.5790000152587891)"
260799,RightFoot,Penalty,Goal,0.7600951194763184,80,1,2,Mehdi Abeid,4403,h,Dijon,Lille,,2018-10-20 18:00:00,10734,2018,"(0.885, 0.5)"
260798,LeftFoot,OpenPlay,BlockedShot,0.02252090349793434,78,1,2,Naim Sliti,5608,h,Dijon,Lille,Mehdi Abeid,2018-10-20 18:00:00,10734,2018,"(0.755, 0.5529999923706055)"
260789,LeftFoot,OpenPlay,SavedShot,0.02294805832207203,51,1,2,Wesley Said,3799,h,Dijon,Lille,Mehdi Abeid,2018-10-20 18:00:00,10734,2018,"(0.7480000305175781, 0.48)"
